matname,bandgap,totd,fom
mp-1226383_Cs12Sn2As6O,1.6458,13.932224,22.9296542592
mp-1227323_CaAl2(SiO4)2,8.6056,6.526504333333333,56.16448569093333
mp-1227475_BeTlAsO4,5.28,11.487726,60.655193280000006
mp-1228030_Ba4Bi2O,0.7961,32.528169,25.8956753409
mp-1228058_Ba3MgTaNbO9,4.6639,31.453163333333332,146.69440847033331
mp-1228067_Ba2ZrSnO6,6.1636999999999995,25.759777999999997,158.77554365859996
mp-1228129_Ba4InSbO8,4.5916,20.40598233333333,93.69610848173332
mp-1228131_Ba4Nb2WO12,4.1983999999999995,67.25686033333334,282.3712024234666
mp-1228141_Ba3CaTa2O9,5.119400000000001,47.117585,241.213764649
mp-1228167_Ba4ScReWO12,3.3274,31.97879633333333,106.40624691953333
mp-1228350_Ba2ScCuO4,3.8233,17.81741866666667,68.12133678826667
mp-1228360_Ba2InCuO4,3.4818,22.758629,79.2409944522
mp-12355_Sr2YTaO6,5.9476,26.650819666666667,158.5084150494667
mp-12385_Ba2YTaO6,5.4216999999999995,35.27361033333333,191.2429331442333
mp-12427_Sr2TaGaO6,6.1009,26.592455333333334,162.23791074313334
mp-12533_La2Hf2O7,6.4231,25.841907000000003,165.9851528517
mp-1265_MgO,7.8986,9.989108,78.8999684488
mp-12797_BaBe2Si2O7,9.0939,9.582067666666667,87.1383651539
mp-1285_PtO2,1.0761000000000003,19.65877233333333,21.154804907900004
mp-12878_Sr2YSbO6,6.4497,17.20346533333333,110.95719036039998
mp-12881_Ba3NbGa3(SiO7)2,6.0077,13.205036666666667,79.33189878233333
mp-12885_BaAl2Sb2O7,5.3632,9.065034333333331,48.617592136533325
mp-13019_NaLa2TaO6,6.100199999999999,25.936676000000002,158.2189109352
mp-13042_NaSr3TaO6,6.1646,16.815168666666665,103.65878876253332
mp-13055_Ba2LaTaO6,5.481199999999999,36.17987933333333,198.30915460186665
mp-13133_K2TiO3,6.0828,13.623565333333334,82.8694232096
mp-13252_SnB4O7,5.466799999999999,19.844752333333332,108.48729205586665
mp-1342_BaO,3.8011999999999997,65.892075,250.46895549
mp-1346_B6O,3.0224,6.436526333333333,19.453757189866668
mp-13541_Sr2Mg(BO3)2,7.901699999999999,10.655700333333334,84.19814732389999
mp-13641_TiCdO3,4.3587,20.875708,90.99094845959999
mp-13660_Ca4Sb2O,1.383,27.322304666666668,37.786747354
mp-13743_K3GaO3,5.756600000000001,8.571986666666666,49.345498445333334
mp-13744_Rb3GaO3,5.5169,9.618471666666666,53.06414633783333
mp-13801_Tl2Pt2O7,1.5457,16.198593,25.0381652001
mp-13820_Cd3SiO5,2.9297,16.214763,47.5043911611
mp-13863_BaGeO3,6.410399999999999,11.040086666666667,70.77137156799999
mp-13900_Sr(CuO)2,3.2567999999999997,13.320432666666667,43.381985108799995
mp-13995_Hg2GeO4,2.1616999999999997,13.246532333333333,28.635028944966663
mp-14324_K2Na4Be2O5,5.8622,7.125364666666667,41.770312748933335
mp-14333_TaAlO4,6.4147,11.276039333333335,72.33240951153334
mp-14363_Rb2LiAsO4,7.4963999999999995,8.020913333333333,60.12797471199999
mp-14364_Cs2LiAsO4,7.418799999999999,8.102680666666666,60.11216732986666
mp-14398_CaSn(BO3)2,7.0934,9.088396333333334,64.46763055086667
mp-14437_RbYO2,6.084300000000001,15.265211333333335,92.87812531540003
mp-14495_Li6ZnO4,6.9801,8.250864,57.5918558064
mp-14726_Na4TiO4,6.698,6.255309666666666,41.898064147333336
mp-14951_Rb3AlO3,5.8624,9.474656999999999,55.544229196799996
mp-1518084_Sr2LaBiO6,3.6093999999999995,21.94867933333333,79.22156318573332
mp-15349_Li2GeO3,6.8346,6.7160443333333335,45.9014766006
mp-1539317_Ta2O5,3.7986,53.32180666666667,202.548214804
mp-1540016_Ca(AgO2)2,2.1579999999999995,12.047178666666667,25.997811562666662
mp-1540145_Ca(CuO2)2,1.7480000000000002,12.522069000000002,21.888576612000005
mp-1540712_Ca2Ti3O8,4.3349,32.63162333333333,141.45482398766666
mp-1541753_Rb2MgO2,5.3239,13.529964666666666,72.03217888886667
mp-15573_Tl3AsO4,3.7329000000000003,13.367645666666668,49.90008450910001
mp-15733_CaTaAlO5,6.2523,30.29898533333333,189.4383459996
mp-15743_Sr2CeO4,4.666399999999999,14.802191,69.0729440824
mp-1581_As2O3,5.3431,8.385696333333334,44.80561407863333
mp-16136_Sr3TaGa3(SiO7)2,6.861,14.387671666666668,98.713815305
mp-16280_Ca2Sb2O7,4.321299999999999,20.106031333333334,86.88419320073332
mp-16432_Sr3(BO3)2,7.7679,9.909700333333333,76.9775612193
mp-16737_Na2BeB2O5,9.0402,5.815644,52.574584888800004
mp-16805_Cs2Ti(GeO3)3,5.3857,12.737919666666665,68.60261394876666
mp-16834_Zn3(AsO4)2,5.343500000000001,9.376869000000001,50.10529950150001
mp-16871_K2ZrGe2O7,6.7768,12.969035,87.888556388
mp-16978_Ba3MgSb2O9,5.3481,18.621170666666668,99.5878828424
mp-17020_TiTl2(GeO3)3,3.9627,28.17742633333333,111.65868733109998
mp-17037_Rb2Ti(SiO3)3,6.0634999999999994,10.245995666666667,62.12659472483333
mp-1705_Sb2O5,2.0895,14.674568666666667,30.662511229000003
mp-17071_Rb2CrO4,5.9911,7.505959,44.9689509649
mp-17161_K6CdO4,3.8983,9.850560333333332,38.40043934743333
mp-17250_K3SbO3,5.6876,7.364973,41.889020434799995
mp-17380_Ba2Ca(PdO2)3,3.0387999999999997,31.90860766666667,96.96387697746667
mp-17382_Rb2Si3SnO9,7.6941,7.174757,55.20329783369999
mp-17392_Sr2ZnGe2O7,6.0121,9.706202,58.354657044199996
mp-17394_NaYGeO4,6.6477,8.971207999999999,59.6378994216
mp-17458_V2Zn2O7,4.1737,9.421159666666666,39.321094100766665
mp-17481_Mg4Ta2O9,6.719899999999999,12.139461666666667,81.57596845383333
mp-17612_Ba2SiO4,7.4095,16.355412333333334,121.18542768383334
mp-17708_Ge3Sb2O9,4.9162,9.158755333333334,45.026272969733334
mp-17730_K2SnO3,5.1762,8.294274999999999,42.932826254999995
mp-17785_KNa2GaO3,5.7875000000000005,14.051445666666668,81.32274179583335
mp-17841_Mg4Nb2O9,5.694500000000001,13.593181333333334,77.40637110266668
mp-17854_LiInGeO4,4.8552,10.122192333333333,49.1452682168
mp-17891_NaYSiO4,7.6246,8.153912333333333,62.170319976733325
mp-17911_Ba2ZnO3,4.947,18.132149666666667,89.699744401
mp-17914_CaGa4O7,5.66,12.080883666666665,68.37780155333333
mp-17986_TiTl2O3,3.1689999999999996,14.828838666666668,46.992589734666666
mp-18137_TaVO5,3.612,28.690573666666666,103.630352084
mp-18160_Cs2SrV4O12,5.0999,8.254615333333332,42.09771273846666
mp-18253_SrGa4O7,5.580699999999999,11.142535333333333,62.18314693473332
mp-18315_Cs6Si2O7,6.322900000000001,11.215653333333334,70.91545446133334
mp-18422_RbLiZn2O3,4.7463,9.753797333333333,46.2944482832
mp-18449_K2ZrO3,6.6073,8.868231666666667,58.59506709116667
mp-18473_RbLa(MoO4)2,5.8047,10.428722,60.53560259340001
mp-18480_Na3Ca2TaO6,6.9051,12.721360333333331,87.84226523769999
mp-18483_Rb6Si2O7,6.728800000000001,8.360715333333333,56.257581334933334
mp-18502_BaSi3SnO9,7.4369,7.7377226666666665,57.544669699733326
mp-18510_Sr2SiO4,7.641699999999999,12.752446333333333,97.45036914543333
mp-18733_AlTl(MoO4)2,5.744999999999999,10.098984666666666,58.01866690999999
mp-18740_V2Cd2O7,4.0543,14.278736,57.890279364799994
mp-18741_RbLiCrO4,5.8198,6.366585333333333,37.05225332293333
mp-18764_Ba2SrWO6,4.6437,24.436442,113.47550571539999
mp-18779_Na2CrO4,5.5893,8.044088666666667,44.9608247846
mp-18780_K2WO4,8.0824,7.905829999999999,63.89808039199999
mp-18781_CrCdO4,3.8403,8.434454,32.390833696200005
mp-18803_Na2WO4,8.3199,5.746351999999999,47.809074004799996
mp-18815_KVO3,5.4946,12.171324,66.87655685040001
mp-18834_SrMoO4,5.728300000000001,9.945208333333333,56.969136895833344
mp-18852_Na2MoO4,7.1524,6.004231999999999,42.944668956799994
mp-18853_TlV2AgO6,3.1238,11.568964333333334,36.139130784466666
mp-18864_Rb2WO4,8.0786,7.146902999999999,57.736970575799994
mp-18875_MgWO4,5.1309,13.660504333333334,70.0906816839
mp-18889_VAg3O4,1.8390999999999997,11.523535333333333,21.19293383153333
mp-18914_K2MoO4,7.3027999999999995,8.049184333333333,58.78158334946666
mp-18918_ZnWO4,4.284800000000001,18.900277666666664,80.98390974613334
mp-18964_K3NaCr2O8,5.8825,7.255278333333333,42.67917479583333
mp-18986_Ba2MgWO6,4.579599999999999,20.380106,93.33273343759998
mp-19005_Y6WO12,4.7717,22.042087666666664,105.17822971903333
mp-19014_Sr2CdWO6,4.8218,22.620354333333335,109.07082452446667
mp-19031_RbVO3,5.566800000000001,10.049218999999999,55.9419923292
mp-19034_Mg3V2O8,5.5081999999999995,9.072412666666667,49.97266345053333
